epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
74,116.771,1.24219,0.64795,0.86379,0.93641,0.60796,0.64828,0.38567,1.36417,0.62018,0.86944,0.00030808,0.00030808,0.00030808
75,118.327,1.21339,0.64494,0.87054,0.9138,0.60002,0.6447,0.39016,1.36967,0.63279,0.86849,0.000297081,0.000297081,0.000297081
76,119.927,1.24513,0.6503,0.87414,0.92871,0.59986,0.66288,0.39131,1.36539,0.6323,0.86684,0.000286083,0.000286083,0.000286083
77,121.453,1.20559,0.63726,0.86756,0.9202,0.61047,0.66918,0.39139,1.36266,0.62907,0.8657,0.000275084,0.000275084,0.000275084
78,122.975,1.23821,0.64794,0.87049,0.93566,0.60135,0.65726,0.38624,1.37383,0.63491,0.86799,0.000264085,0.000264085,0.000264085
79,124.531,1.22623,0.6423,0.86827,0.93555,0.60069,0.66235,0.39068,1.36765,0.62158,0.86775,0.000253086,0.000253086,0.000253086
80,126.119,1.22928,0.64217,0.8725,0.91855,0.58724,0.65442,0.37851,1.43499,0.646,0.87493,0.000242087,0.000242087,0.000242087
81,127.703,1.2176,0.63563,0.86686,0.89636,0.59804,0.65131,0.37404,1.45158,0.64132,0.87718,0.000231088,0.000231088,0.000231088
82,129.256,1.20113,0.62365,0.86711,0.92061,0.60263,0.65703,0.38332,1.38305,0.62859,0.86824,0.000220089,0.000220089,0.000220089
83,130.796,1.2017,0.6194,0.86731,0.92389,0.59217,0.65183,0.38533,1.38378,0.61782,0.87085,0.00020909,0.00020909,0.00020909
84,132.347,1.20983,0.63819,0.86532,0.92794,0.59681,0.65289,0.38554,1.37614,0.62376,0.86969,0.000198091,0.000198091,0.000198091
85,133.877,1.20997,0.63111,0.8615,0.90736,0.59383,0.64808,0.38076,1.42166,0.63628,0.87328,0.000187092,0.000187092,0.000187092
86,135.462,1.21293,0.63453,0.86206,0.91725,0.58101,0.64927,0.38637,1.40989,0.63245,0.87261,0.000176094,0.000176094,0.000176094
87,137.003,1.16768,0.61476,0.85993,0.90186,0.61403,0.65546,0.38335,1.39668,0.62376,0.87013,0.000165095,0.000165095,0.000165095
88,138.554,1.17869,0.61265,0.85565,0.90157,0.62117,0.65877,0.38911,1.40648,0.62613,0.87069,0.000154096,0.000154096,0.000154096
89,140.161,1.17634,0.61292,0.86759,0.89992,0.61135,0.66173,0.39122,1.36671,0.61142,0.86656,0.000143097,0.000143097,0.000143097
90,141.705,1.18424,0.62484,0.86839,0.9068,0.61277,0.65835,0.3963,1.35222,0.61771,0.86613,0.000132098,0.000132098,0.000132098
91,165.242,1.17312,0.62643,0.86946,0.91971,0.59073,0.65604,0.39142,1.35403,0.61763,0.86603,0.000121099,0.000121099,0.000121099
92,166.785,1.14525,0.60367,0.86371,0.87979,0.60588,0.64561,0.38476,1.36062,0.63518,0.86756,0.0001101,0.0001101,0.0001101
93,168.279,1.16779,0.60999,0.86136,0.89934,0.60776,0.6512,0.38581,1.35147,0.62427,0.86563,9.91012e-05,9.91012e-05,9.91012e-05
94,169.82,1.15369,0.60679,0.86218,0.89497,0.58564,0.64126,0.37645,1.38593,0.62645,0.8685,8.81023e-05,8.81023e-05,8.81023e-05
95,171.376,1.16374,0.60347,0.86485,0.90476,0.59333,0.64467,0.37818,1.35824,0.61955,0.86472,7.71034e-05,7.71034e-05,7.71034e-05
96,172.855,1.13619,0.59053,0.86379,0.89813,0.61268,0.64784,0.37499,1.36091,0.61979,0.86453,6.61045e-05,6.61045e-05,6.61045e-05
97,174.324,1.13667,0.59163,0.86127,0.88138,0.61557,0.64765,0.37671,1.35456,0.61877,0.86377,5.51056e-05,5.51056e-05,5.51056e-05
98,175.861,1.12184,0.58284,0.85744,0.88871,0.61687,0.64901,0.3817,1.36156,0.61655,0.86514,4.41067e-05,4.41067e-05,4.41067e-05
99,177.353,1.1254,0.59274,0.8521,0.88889,0.61438,0.64885,0.38149,1.36017,0.61676,0.86534,3.31078e-05,3.31078e-05,3.31078e-05
100,178.838,1.11891,0.58816,0.85863,0.89146,0.61362,0.65132,0.3841,1.35813,0.61958,0.86516,2.21089e-05,2.21089e-05,2.21089e-05
